"experience","key_skill","count"
Junior+ (1-3 years),SQL,467
Junior+ (1-3 years),Анализ данных,252
Middle (3-6 years),SQL,247
Junior+ (1-3 years),Python,238
Middle (3-6 years),Python,176
Junior+ (1-3 years),Документация,120
Junior+ (1-3 years),Power BI,112
Middle (3-6 years),Анализ данных,111
Junior+ (1-3 years),Pandas,104
Middle (3-6 years),Документация,97
Junior+ (1-3 years),Коммуникация,97
Junior+ (1-3 years),Аналитическое мышление,79
Junior+ (1-3 years),MS SQL,72
Middle (3-6 years),Коммуникация,54
Junior+ (1-3 years),Работа с большим объемом информации,54
Middle (3-6 years),Power BI,53
Middle (3-6 years),Pandas,50
Junior+ (1-3 years),confluence,43
Middle (3-6 years),MS SQL,43
Junior+ (1-3 years),MS Excel,40
