"experience","soft_skill","count"
Junior+ (1-3 years),Документация,150
Junior+ (1-3 years),Аналитическое мышление,114
Middle (3-6 years),Документация,109
Junior+ (1-3 years),Коммуникация,105
Middle (3-6 years),Коммуникация,56
Junior+ (1-3 years),Проактивность,29
Middle (3-6 years),Аналитическое мышление,22
Junior (no experince),Коммуникация,17
Junior (no experince),Документация,17
Junior (no experince),Аналитическое мышление,15
Middle (3-6 years),Проактивность,15
Junior+ (1-3 years),Креативность,7
Middle (3-6 years),Переговоры,7
Junior+ (1-3 years),Переговоры,6
Junior (no experince),Проактивность,6
Middle (3-6 years),Креативность,4
Senior (6+ years),Документация,4
Junior+ (1-3 years),Адаптивность,4
Junior+ (1-3 years),Принятие решений,4
Junior (no experince),Креативность,3
Senior (6+ years),Коммуникация,3
Senior (6+ years),Проактивность,3
Middle (3-6 years),Критическое мышление,3
Senior (6+ years),Презентация результатов,3
Junior (no experince),Переговоры,2
Middle (3-6 years),Решение проблем,2
Senior (6+ years),Внимание к деталям,2
Senior (6+ years),Решение проблем,2
Junior+ (1-3 years),Решение проблем,2
Middle (3-6 years),Адаптивность,2
Junior+ (1-3 years),Тайм-менеджмент,2
Junior+ (1-3 years),Эмпатия,1
Senior (6+ years),Аналитическое мышление,1
Middle (3-6 years),Внимание к деталям,1
Junior (no experince),Тайм-менеджмент,1
Middle (3-6 years),Принятие решений,1
